18:35:20.707131 config: drop-rate=0.20, max-delay=10ms, seed=1
10:29:58.146463 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:30:02.158892 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 500µs
10:30:02.174275 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:06.164405 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 3.8ms
10:30:06.179997 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:10.178990 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 5.5ms
10:30:10.194343 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:14.187615 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 1ms
10:30:14.201959 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:18.200563 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 5.6ms
10:30:18.216214 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:22.209009 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:30:26.220510 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 6.1ms
10:30:26.236570 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:30:30.227501 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 8.3ms
10:30:30.242883 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
